model,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
jmstate,0.3708520382642746,0.9007091149687767,5,0.7463236679317149,0.1150488542337858,5,0.6896255805645525,0.08685403247207943,5,0.120863276806328,0.061059392316923214,5
jmstate,0.3708520382642746,0.9360329200824101,5,0.7688422035016439,0.13253209599915852,5,0.7152593432703824,0.07632038162575105,5,0.14013518545192288,0.07065104379428976,5
jmstate,0.3708520382642746,0.9713567251960437,5,0.7734886476963352,0.13670200218176348,5,0.7220577754031516,0.06724058886390337,5,0.14750241967311417,0.07801352197969977,5
jmstate,0.3708520382642746,1.006680530309677,5,0.7774231568998337,0.13657331676078904,5,0.7358978666224328,0.056055896748129455,5,0.14920137308554146,0.07914268896615774,5
jmstate,0.3708520382642746,1.0420043354233106,5,0.7861064670784761,0.14293668470707363,5,0.7442357880990711,0.05913122566579354,5,0.16240023569966242,0.08908097297111081,5
jmstate,0.3708520382642746,1.077328140536944,5,0.7938240918287676,0.16292582527365798,5,0.7469988524648956,0.06718800159378588,5,0.1582775805328377,0.09828573398280621,5
jmstate,0.3708520382642746,1.1126519456505775,5,0.7881964931471133,0.16365590744173103,5,0.7467343871895119,0.0660540956191183,5,0.1677998865612358,0.10935679456597255,5
jmstate,0.3708520382642746,1.147975750764211,5,0.8193545047187968,0.11574857348774782,5,0.7569872326179422,0.04759694143930699,5,0.15566488859720073,0.09436480200780441,5
jmstate,0.3708520382642746,1.1832995558778445,5,0.8077477042632637,0.13133694970240448,5,0.7584554920466088,0.0507529664792473,5,0.16447036295135703,0.10516160902675666,5
jmstate,0.3708520382642746,1.218623360991478,5,0.7966680358129207,0.13314214587077908,5,0.7563510213133371,0.05123179902829728,5,0.17454785728594785,0.11157866796027585,5
jmstate,0.3708520382642746,1.2539471661051116,5,0.7765767699214708,0.1549864699175461,5,0.755588723714641,0.05185760391889262,5,0.18790803383540555,0.11466883793167745,5
jmstate,0.3708520382642746,1.289270971218745,5,0.7624972040778659,0.21548103625643503,5,0.755588723714641,0.05185760391889262,5,0.19789298581505546,0.14036961069519444,5
jmstate,0.3708520382642746,1.3245947763323784,5,0.7624972040778659,0.21548103625643503,5,0.7588556520025658,0.05563022848859521,5,0.21886373581613724,0.17438477973635094,5
jmstate,0.3708520382642746,1.3599185814460117,5,0.6418794047176947,0.3765792619710021,5,0.7583282037829413,0.058938534631404416,5,0.24136420561063449,0.16231062468106358,5
jmstate,0.3708520382642746,1.3952423865596453,5,0.5301846804096254,0.41878899876575615,5,0.6805696512425543,0.20673236475361628,5,0.32766890867674975,0.21520721458844502,5
jmstate,0.3708520382642746,1.4305661916732788,5,,,0,,,0,,,0
jmstate,0.6295860111713409,0.6562853505214056,5,1.0,,1,1.0,,1,0.022542418439713257,,1
jmstate,0.6295860111713409,0.6829846898714701,5,0.9375,0.08838834764831845,2,0.9038461538461539,0.13598207330510528,2,0.027805523144579077,0.013875571487379508,2
jmstate,0.6295860111713409,0.7096840292215347,5,0.6739577564681765,0.26824605874928875,2,0.6448967974207948,0.23022761851942206,2,0.0428026993337052,0.008263642148571131,2
jmstate,0.6295860111713409,0.7363833685715994,5,0.7181456364795041,0.20145227200593366,3,0.7077089760583076,0.19580216423761704,3,0.04633075660310268,0.009867828893769939,3
jmstate,0.6295860111713409,0.7630827079216639,5,0.7350656290380563,0.21867867750554476,3,0.7205294888788204,0.20658435788372603,3,0.04987851732550195,0.0146902527196519,3
jmstate,0.6295860111713409,0.7897820472717285,5,0.7451609035120957,0.2214624207780296,3,0.7205294888788204,0.20658435788372603,3,0.05010858489261855,0.01898998116485495,3
jmstate,0.6295860111713409,0.8164813866217931,5,0.7295726313039556,0.22951845230439333,3,0.7205294888788204,0.20658435788372603,3,0.05438753414518414,0.02339027370186569,3
