model,target_state,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,2,2.107118248939514,3.018672041098277,5,0.7575399771445369,0.1572346269719246,3,0.619631609968026,0.09181647680458596,3,0.21692579938409143,0.016848165791417322,2
parametric,2,2.107118248939514,3.072292852401733,5,0.8438004536886394,,1,0.5775505482357831,,1,,,0
parametric,2,2.107118248939514,3.12591366370519,5,0.8438004536886394,,1,0.596867140979977,,1,,,0
parametric,2,2.107118248939514,3.1795344750086465,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.233155286312103,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.2867760976155598,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.3403969089190166,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.3940177202224735,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.44763853152593,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.5012593428293863,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.554880154132843,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.6085009654362996,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.662121776739756,5,,,0,,,0,,,0
parametric,2,2.107118248939514,3.715742588043213,5,,,0,,,0,,,0
parametric,2,2.495120406150818,2.5358078122138976,5,0.5490143369175627,0.32254325749085827,4,0.5491228070175438,0.3225494777385512,4,0.20487942047633143,0.13724203371975233,3
parametric,2,2.495120406150818,2.5764952182769774,5,0.6956396119363848,0.275085268916519,4,0.6915050964532703,0.2791543983815922,4,0.33589779459884594,0.04799961894813773,3
parametric,2,2.495120406150818,2.6171826243400576,5,0.771897691430176,0.3006092831288803,5,0.7654288456726668,0.29657679358487216,5,0.26215158020340673,0.10948829761481205,4
parametric,2,2.495120406150818,2.6578700304031373,5,0.6716351162411401,0.3461653080795015,4,0.659397482380549,0.31290512808544757,4,0.31725313712849296,0.23129088321027588,3
parametric,2,2.495120406150818,2.698557436466217,5,0.604394686505429,0.23809017320769577,4,0.5957915515688209,0.22954036111800713,4,0.3054236678191186,0.22100164824009044,3
parametric,2,2.495120406150818,2.739244842529297,5,0.5809957485948772,0.2711150319072529,4,0.5772096911568994,0.22377245015456468,4,0.3183947543367215,0.2124123518834834,3
parametric,2,2.495120406150818,2.7799322485923765,5,0.606192562150804,0.1818335830041077,4,0.6367693508237796,0.1581922001845528,4,0.30344783168413386,0.20067149104282817,3
