model,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,2.107118248939514,2.1607390602429706,15,0.44572765207036014,0.2346015118883667,10,0.43930419756817196,0.22766845179905668,10,0.1069471662369359,0.11925600722324457,9
parametric,2.107118248939514,2.2143598715464274,15,0.7122947750103342,0.19298048537067924,14,0.6960400686865145,0.19605920754023595,14,0.1284080811361699,0.10635410393799091,13
parametric,2.107118248939514,2.267980682849884,15,0.7536200825881654,0.21329930908738381,14,0.7279532779995789,0.21636496735784208,14,0.15889015244801236,0.10327924973176528,13
parametric,2.107118248939514,2.3216014941533407,15,0.7266492316185287,0.15675571060950275,14,0.7139959090287606,0.1726963381787969,14,0.16183262991837022,0.09951306322122298,13
parametric,2.107118248939514,2.375222305456797,15,0.7037830284499555,0.1455843086678769,14,0.710937538925487,0.12996979056954794,14,0.16440453957698015,0.092822587173314,13
parametric,2.107118248939514,2.428843116760254,15,0.6531399693868517,0.23281261802907305,14,0.6956567865713079,0.132604918445659,14,0.17709008825476635,0.10175134003692861,13
parametric,2.107118248939514,2.4824639280637104,15,0.5906284419022675,0.21566729869138682,14,0.6491311051121097,0.13941666370745207,14,0.1953365769994688,0.09939753683033471,13
parametric,2.107118248939514,2.5360847393671673,15,0.6767551160464002,0.1336426819715915,13,0.627210593226406,0.09860554405002608,13,0.23716824422497385,0.12501240146934495,12
parametric,2.107118248939514,2.5897055506706237,15,0.6685496023673506,0.17088496128651248,12,0.6237569040187668,0.10845408545137016,12,0.2639810140856635,0.11471645029721482,11
parametric,2.107118248939514,2.64332636197408,15,0.675089421530103,0.16467816681674838,11,0.6234235317963923,0.12277407475541485,11,0.24892326212939345,0.11978355144710941,10
parametric,2.107118248939514,2.696947173277537,15,0.6690340728708811,0.22298190823219832,11,0.6184473649246677,0.1021573158454826,11,0.24823915361350446,0.11466983640666313,10
parametric,2.107118248939514,2.750567984580994,15,0.6759633179993411,0.22828153065378803,11,0.6283184408838399,0.16445643335918186,11,0.24690323494370653,0.10466618469859454,10
parametric,2.107118248939514,2.8041887958844502,15,0.7403147934539553,0.163168671374821,11,0.61325182275487,0.08397047628516682,11,0.24132109910212146,0.09005523581483728,10
parametric,2.107118248939514,2.8578096071879067,15,0.7955801876231974,0.1502537860286019,10,0.6409925112297128,0.07524736067820588,10,0.22449470256149817,0.08061233742208551,9
parametric,2.107118248939514,2.9114304184913635,15,0.7655023781443246,0.19516051182769736,10,0.6415245747072378,0.08052487360075915,10,0.24326174154951424,0.10428133430366789,9
parametric,2.107118248939514,2.9650512297948204,15,0.7291780633973044,0.20002650521970855,9,0.6054867546634795,0.0842345561165928,9,0.26453507346073696,0.08925103251641932,8
parametric,2.107118248939514,3.018672041098277,15,0.7455103482615834,0.16541179107835263,9,0.609053887662287,0.08551625805943122,9,0.26983352055483617,0.08806538148023031,8
parametric,2.107118248939514,3.072292852401733,15,0.7472584104534148,0.17820486094338642,6,0.5843441073140867,0.08967926157298363,6,0.26212684743410664,0.15353173463343697,5
parametric,2.107118248939514,3.12591366370519,15,0.7376523144163646,0.19634272735434571,6,0.5808932694251318,0.0959703763616627,6,0.27523103772566426,0.21294702977066618,5
parametric,2.107118248939514,3.1795344750086465,15,0.739955214084366,0.2371821352651637,4,0.6141455977120587,0.09072248294843151,4,0.2990067947364729,0.23345728097933188,4
