horizon,n_train,n_test,n_train_events,n_test_events,auc_ipcw,c_index_ipcw,brier_ipcw,target_state,transition,landmark,fold,model
2.1607390602429706,33,5,18,0,,,,1,0->1,2.107118248939514,1,parametric
2.2143598715464274,33,5,18,1,1.0,1.0,0.18526634938842795,1,0->1,2.107118248939514,1,parametric
2.267980682849884,33,5,18,1,1.0,1.0,0.17230045446809916,1,0->1,2.107118248939514,1,parametric
2.3216014941533407,33,5,18,1,0.75,0.75,0.1674320401127759,1,0->1,2.107118248939514,1,parametric
2.375222305456797,33,5,18,1,0.75,0.75,0.16430938808249274,1,0->1,2.107118248939514,1,parametric
2.428843116760254,33,5,18,1,0.75,0.75,0.15452988240815677,1,0->1,2.107118248939514,1,parametric
2.4824639280637104,33,5,18,1,0.6666666666666667,0.75,0.14506362748209647,1,0->1,2.107118248939514,1,parametric
2.5360847393671673,33,5,18,1,0.6666666666666667,0.75,0.15823773761056137,1,0->1,2.107118248939514,1,parametric
2.5897055506706237,33,5,18,1,0.6666666666666667,0.75,0.1761824907997354,1,0->1,2.107118248939514,1,parametric
2.64332636197408,33,5,18,1,1.0,0.875,0.10029104348900209,1,0->1,2.107118248939514,1,parametric
2.696947173277537,33,5,18,1,1.0,0.75,0.10059221176695063,1,0->1,2.107118248939514,1,parametric
2.750567984580994,33,5,18,1,1.0,1.0,0.10006986152976191,1,0->1,2.107118248939514,1,parametric
2.8041887958844502,33,5,18,1,1.0,0.75,0.11303114172597539,1,0->1,2.107118248939514,1,parametric
2.8578096071879067,33,5,18,1,1.0,0.75,0.12186410592925764,1,0->1,2.107118248939514,1,parametric
2.9114304184913635,33,5,18,1,1.0,0.75,0.137877982161412,1,0->1,2.107118248939514,1,parametric
2.9650512297948204,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.018672041098277,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.072292852401733,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.12591366370519,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.1795344750086465,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.233155286312103,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.2867760976155598,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.3403969089190166,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.3940177202224735,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.44763853152593,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.5012593428293863,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.554880154132843,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.6085009654362996,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.662121776739756,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
3.715742588043213,33,5,18,2,,,,1,0->1,2.107118248939514,1,parametric
2.1607390602429706,94,26,43,1,0.9375,0.94,0.03616158500506825,2,1->2,2.107118248939514,1,parametric
2.2143598715464274,94,26,43,2,0.6421463166373294,0.6439826158902708,0.07619121979700437,2,1->2,2.107118248939514,1,parametric
2.267980682849884,94,26,43,6,0.6329451266514343,0.6330526405887138,0.23509831503455464,2,1->2,2.107118248939514,1,parametric
2.3216014941533407,94,26,43,7,0.5815733310760319,0.6061867165761581,0.2672539695564003,2,1->2,2.107118248939514,1,parametric
2.375222305456797,94,26,43,7,0.572582168951177,0.5966779348421692,0.2545676371761926,2,1->2,2.107118248939514,1,parametric
2.428843116760254,94,26,43,7,0.6160083607265275,0.601043191156907,0.23613472180369932,2,1->2,2.107118248939514,1,parametric
2.4824639280637104,94,26,43,8,0.723254924143719,0.6786996229550017,0.24271095998038722,2,1->2,2.107118248939514,1,parametric
2.5360847393671673,94,26,43,8,0.7265912516672279,0.6480400014550934,0.22553572897178603,2,1->2,2.107118248939514,1,parametric
2.5897055506706237,94,26,43,9,0.7388861736612786,0.6445371414351573,0.2555316107210247,2,1->2,2.107118248939514,1,parametric
2.64332636197408,94,26,43,9,0.7251385988851521,0.6526182244714709,0.22929000065537167,2,1->2,2.107118248939514,1,parametric
2.696947173277537,94,26,43,9,0.7118438098613957,0.6753285793275201,0.21450243370247365,2,1->2,2.107118248939514,1,parametric
2.750567984580994,94,26,43,9,0.6488458094485979,0.6746507654954955,0.20596556490904053,2,1->2,2.107118248939514,1,parametric
